s_verb	s_verb_freq	s_verb_nfreq	s_verb_vfreq	s_verb_direct_div	s_verb_indirect_div	p_verb	p_verb_freq	p_verb_nfreq	p_verb_vfreq	p_verb_direct_div	p_verb_indirect_div	sp_freq_diff
tackles	4.5384	4.5177	3.1861	2.1303	3.5499	tackle	4.4247	4.2839	3.8238	1.9395	3.9106	0.1137
signs	4.8161	4.7678	3.621	2.3201	3.6678	sign	5.1202	4.8781	4.686	2.4393	4.1526	-0.3041
doubles	4.7545	4.6869	3.5016	2.6503	3.7636	double	5.3786	4.4232	3.8796	2.0645	3.9507	-0.6241
lights	4.7799	4.6419	3.1667	2.243	3.5145	light	5.6491	5.4019	3.6605	2.0682	3.851	-0.8692
scores	4.7398	4.7037	3.6031	2.3541	3.5968	score	5.3647	5.2597	4.6259	2.2923	3.9968	-0.6248
raids	4.4628	4.4511	2.6096	1.5051	3.035	raid	4.6852	4.5894	3.5874	1.9243	3.6427	-0.2224
reserves	4.6908	4.6287	3.0637	2.0828	3.4709	reserve	5.2842	4.994	3.4597	1.9868	3.7133	-0.5934
crops	4.6332	4.6232	2.6232	1.7853	3.1045	crop	4.481	4.4475	2.8331	1.8751	3.3379	0.1522
meets	4.9153	3.3892	4.8737	3.2567	4.3133	meet	5.2477	4.0222	5.2013	3.2335	4.5381	-0.3324
branches	4.8844	4.8637	3.5075	2.281	3.4529	branch	5.3359	5.2263	3.3487	2.1461	3.5748	-0.4515
repairs	4.509	4.497	2.891	1.7924	3.3269	repair	4.7529	4.6084	4.1575	1.8513	4.0645	-0.2439
graduates	4.4907	4.4693	2.9042	1.4624	3.1316	graduate	5.1212	4.9797	4.0892	1.9445	3.7227	-0.6305
measures	4.9595	4.837	4.3248	3.2622	4.0966	measure	4.9589	4.7667	4.4823	2.9309	4.2732	0.0007
codes	4.5589	4.5409	2.8357	1.5441	3.218	code	5.3014	5.2284	3.2828	1.6812	3.5762	-0.7424
produces	4.8086	2.2122	4.8072	3.5675	4.5182	produce	5.2602	4.0928	5.2242	3.3766	4.7185	-0.4516
matters	4.8507	4.7915	3.5901	2.4698	3.7495	matter	5.119	5.0267	3.8492	2.1703	3.9082	-0.2683
rises	4.4986	3.3733	4.445	3.148	4.1291	rise	5.1318	4.9465	4.4582	2.94	4.2454	-0.6332
heads	4.9448	4.7435	4.4038	2.7059	3.9623	head	5.8296	5.7715	4.3428	2.5647	4.069	-0.8848
waves	4.6767	4.6111	2.749	1.7404	3.172	wave	4.9973	4.8947	3.1082	1.7924	3.4755	-0.3206
campaigns	4.7263	4.7059	3.0422	1.5563	3.306	campaign	5.539	5.4734	3.6812	1.3424	3.6589	-0.8127
walks	4.4849	4.159	4.1495	2.6656	3.9829	walk	4.9782	4.5251	4.5732	2.6064	4.2484	-0.4933
indicates	4.8122	1.8325	4.8113	3.399	4.4625	indicate	4.9463	0.301	4.9462	3.1895	4.5231	-0.1341
increases	4.7717	4.2245	4.6265	3.5061	4.3756	increase	5.3475	5.0246	5.0652	3.2079	4.5711	-0.5759
slopes	4.5072	4.4775	3.1984	2.2068	3.2885	slope	4.4502	4.4046	2.7226	1.7559	3.1075	0.057
tries	4.9586	4.2033	4.8723	3.148	4.3075	try	5.049	4.3102	4.9435	3.0715	4.4372	-0.0904
partners	4.9304	4.7748	3.2601	1.959	3.425	partner	5.1319	5.1161	3.419	1.8865	3.5728	-0.2015
angles	4.297	4.2639	1.9638	1.2041	2.4829	angle	4.772	4.7154	2.2672	1.2788	2.8848	-0.475
crosses	4.6928	3.9164	4.5922	2.9547	4.0217	cross	5.4616	4.9542	4.5916	2.8041	4.2361	-0.7688
contacts	4.4293	4.3616	3.5697	2.4099	3.7052	contact	5.0867	5.0291	4.08	2.2253	4.0032	-0.6575
charts	4.9221	4.8877	2.933	1.9685	3.3688	chart	5.34	5.2069	4.037	1.6021	3.6157	-0.418
pays	4.3055	3.2755	4.1277	2.943	4.0309	pay	5.2322	4.6046	5.0986	2.9566	4.4448	-0.9267
ranks	4.7907	4.6578	4.1892	2.9304	3.9228	rank	5.1296	5.0857	3.8765	2.6138	3.8474	-0.339
markets	4.9257	4.8818	3.367	1.9395	3.5977	market	5.535	5.4607	3.8124	1.8633	3.8511	-0.6094
peaks	4.4015	4.2571	3.0689	2.248	3.3602	peak	5.1235	4.9333	3.4067	1.7709	3.4254	-0.722
sketches	4.3532	4.3129	2.4857	1.3979	3.1011	sketch	4.4184	4.3415	3.0253	1.4472	3.4109	-0.0652
ranges	4.6809	4.4024	4.1845	3.1807	4.0806	range	5.6118	5.526	4.4808	3.3833	4.3258	-0.9309
grants	4.6664	4.5437	3.8695	2.7251	3.8918	grant	5.2216	4.7849	4.3216	2.4955	4.1033	-0.5552
boards	4.6761	4.6337	3.1092	1.699	3.2923	board	5.7326	5.5467	3.7955	2.0492	3.7646	-1.0564
refuses	4.5032	0.9031	4.5024	2.8351	4.0942	refuse	4.2539	3.3655	4.1808	2.6314	4.056	0.2493
processes	4.9153	4.8985	3.3367	2.3054	3.6529	process	5.5953	5.5779	3.9497	2.2672	4.0045	-0.6799
credits	4.8675	4.8185	3.8895	2.4914	3.877	credit	5.0113	4.9379	3.4884	2.2765	3.7073	-0.1438
prints	4.3939	4.3491	3.1281	2.0453	3.4168	print	4.8783	4.7884	3.972	1.9685	3.9345	-0.4844
requires	4.9307	1.8261	4.93	3.6627	4.5376	require	4.9658	1.2041	4.9656	3.4742	4.554	-0.0351
stops	4.6684	4.4387	4.2638	3.0504	4.1029	stop	5.2726	4.8095	5.0349	2.8494	4.4684	-0.6042
lists	4.789	4.5505	4.4078	3.0043	4.2032	list	5.5705	5.5215	3.9603	2.5527	3.9745	-0.7815
seeks	4.473	0.9542	4.4703	3.1169	4.2043	seek	4.8297	2.6884	4.8151	3.0334	4.357	-0.3567
proves	4.1162	1.8573	4.1126	3.0179	4.1071	prove	4.6967	2.2989	4.6919	2.7364	4.3543	-0.5804
gains	4.4083	4.19	3.985	2.8561	3.9892	gain	5.0016	4.3418	4.8863	2.8954	4.4015	-0.5932
volunteers	4.776	4.6881	3.36	1.8976	3.532	volunteer	4.8055	4.577	3.6612	1.9777	3.6894	-0.0296
trails	4.5099	4.4407	2.6857	1.7559	3.1433	trail	5.051	4.7478	2.9031	1.3617	3.2625	-0.5411
files	4.7101	4.6641	3.0637	1.9085	3.341	file	4.8985	4.8241	4.0166	2.0374	3.8614	-0.1884
airs	4.2879	3.2629	4.2289	2.382	3.6249	air	5.9379	5.592	4.2774	2.0414	3.9076	-1.65
streams	4.5731	4.5581	2.8241	1.7482	3.1281	stream	4.8904	4.8218	3.4663	1.6435	3.5438	-0.3173
contracts	4.6732	4.6523	3.1664	2.179	3.5159	contract	5.4645	5.4535	3.6332	2.0864	3.8287	-0.7913
involves	4.7725	0	4.7721	3.6231	4.5307	involve	4.5528	0	4.5518	3.1632	4.3842	0.2197
discovers	4.6008	1.4914	4.5987	2.7559	4.1826	discover	4.6086	1.9494	4.5829	2.5809	4.2812	-0.0078
centers	4.8887	4.7834	3.8928	2.7284	3.9197	center	5.8625	5.5111	3.1242	2.1271	3.5628	-0.9738
maintains	4.613	1.1761	4.6127	3.1581	4.283	maintain	4.9696	1.4771	4.9691	3.0689	4.5114	-0.3567
spots	4.6564	4.6145	3.5087	2.233	3.6036	spot	5.0375	4.993	3.5701	1.9191	3.8126	-0.3811
draws	4.5	3.9062	4.3667	3.2047	4.2099	draw	5.1768	5.0112	4.6591	2.932	4.3396	-0.6768
faces	4.7194	4.4752	4.2251	3.0531	4.0785	face	5.357	5.1705	4.7588	3.0366	4.2917	-0.6377
develops	4.4366	1.8513	4.4351	3.2709	4.2602	develop	5.1597	2.1614	5.1583	3.2103	4.5817	-0.7231
transports	4.0864	3.9468	3.4196	2.4065	3.6964	transport	5.3326	5.0854	4.2599	2.2856	4.1136	-1.2462
defines	4.4332	1.1139	4.4327	3.1623	4.2873	define	4.5765	2.1732	4.573	2.9523	4.332	-0.1433
enters	4.6837	1.4771	4.6822	3.2615	4.2726	enter	5.0364	2.5798	5.0257	3.1169	4.4818	-0.3528
counts	4.5484	4.4091	3.9112	2.8943	3.943	count	5.1214	4.8721	4.2418	2.6646	4.104	-0.5731
feels	4.5831	1.7993	4.5642	2.9552	4.2166	feel	4.9834	4.1943	4.8551	2.8645	4.3821	-0.4003
explains	4.6943	1.3222	4.6939	3.0711	4.3835	explain	4.6674	1.3802	4.6659	2.6532	4.3851	0.0269
opens	4.5794	2.5465	4.5643	3.3077	4.2778	open	5.7433	3.209	4.8154	2.8267	4.3678	-1.1639
pictures	5.0069	4.7121	2.4298	1.5911	3.0465	picture	5.0709	4.9827	3.0426	1.5315	3.4565	-0.064
talks	4.6886	4.4923	4.1935	2.6542	4.0375	talk	5.062	4.7298	4.6142	2.5502	4.2331	-0.3735
farms	4.6477	4.5659	2.1847	1.1461	2.7033	farm	5.2459	5.0714	3.281	1.3802	3.4881	-0.5983
grows	4.7191	0.9542	4.7129	3.5188	4.3205	grow	4.9158	2.6294	4.9001	3.256	4.4618	-0.1967
cycles	4.3407	4.2982	2.4829	1.6532	3.0973	cycle	4.9995	4.9507	3.1396	1.7634	3.5092	-0.6588
details	4.9766	4.9362	3.9006	2.5966	3.9469	detail	4.6544	4.6306	3.2728	2.1673	3.629	0.3222
blocks	4.849	4.8193	3.5577	2.7076	3.8395	block	5.2311	5.0631	4.2295	2.356	4.1506	-0.3821
ages	4.9519	4.7154	3.077	1.8865	3.3811	age	5.999	5.9633	3.3948	1.7924	3.6167	-1.0471
helps	4.7338	2.1903	4.7309	3.4847	4.391	help	5.5901	5.1028	5.4068	3.361	4.6662	-0.8562
pounds	4.705	4.698	2.2672	1.3424	2.8645	pound	4.4744	4.3367	2.7033	1.0792	3.244	0.2306
limits	4.8162	4.7407	3.8376	2.8663	3.9828	limit	4.9338	4.7995	4.2987	2.617	4.2076	-0.1176
drugs	4.84	4.8069	2.6444	1.1761	2.9581	drug	5.1308	5.0681	2.4579	0.9542	2.9243	-0.2908
tests	4.9092	4.8911	3.4214	2.382	3.7106	test	5.4197	5.3197	4.4103	2.3324	4.2499	-0.5104
questions	4.9526	4.9161	3.7301	2.3502	3.8024	question	5.1039	5.0528	4.0386	2.238	3.9924	-0.1513
knows	4.642	0.6021	4.5985	2.8169	4.2547	know	5.2754	3.3876	5.2355	2.7627	4.5753	-0.6334
compounds	4.5497	4.5456	2.2068	1.5911	2.9523	compound	4.6828	4.5874	2.8357	1.6021	3.3458	-0.1331
traces	4.4526	4.2344	4.0159	2.8871	3.9907	trace	4.4953	4.1701	4.0273	2.6561	4.0228	-0.0427
travels	4.6962	4.1535	4.4958	3.0438	4.1511	travel	5.2933	4.9098	4.853	2.9863	4.3506	-0.5971
grades	4.8039	4.7997	2.6355	1.7634	3.0748	grade	5.3095	5.2944	2.7143	1.5563	3.2193	-0.5056
scales	4.5241	4.4836	2.8519	2.1038	3.3164	scale	5.2286	5.2026	3.5582	1.8261	3.772	-0.7046
reveals	4.7503	2.143	4.7487	3.2553	4.34	reveal	4.5756	3.2335	4.5465	3.0082	4.3221	0.1747
rivals	4.5914	4.5649	2.8543	1.9395	3.3555	rival	4.8589	4.5403	3.4216	1.7076	3.7116	-0.2674
wants	4.8491	3.0527	4.8246	3.0107	4.2977	want	5.17	3.4621	5.1154	2.8537	4.4751	-0.3209
moves	4.8067	4.36	4.5871	3.369	4.3024	move	5.4124	4.9702	5.1968	3.2512	4.5509	-0.6057
stores	5.0095	4.9595	3.5984	2.5855	3.7918	store	5.25	5.1138	4.2074	2.3997	4.124	-0.2405
performs	4.5265	0.9031	4.5256	3.1617	4.2459	perform	5.1124	2.0453	5.1113	3.1784	4.5566	-0.5859
rounds	4.8668	4.8537	2.7938	2.0253	3.2931	round	5.8161	5.7256	3.4406	2.1139	3.7172	-0.9494
finances	4.1738	4.1385	2.7474	1.6628	3.1679	finance	5.0136	4.7822	4.1142	1.7076	3.9343	-0.8398
bases	4.7219	4.6994	3.1396	2.0969	3.5483	base	5.5568	5.454	3.5334	2.1461	3.7725	-0.8348
reaches	4.727	3.9565	4.644	3.3957	4.299	reach	5.2283	4.1943	5.1646	3.2572	4.5393	-0.5013
maps	4.7485	4.692	3.4294	2.4757	3.627	map	4.9881	4.9423	3.6741	2.0645	3.8405	-0.2395
strikes	4.5479	4.3821	3.9497	2.8669	3.9733	strike	4.9995	4.8392	4.2332	2.4683	4.1223	-0.4517
kills	4.6038	3.7269	4.5152	3.0817	4.1278	kill	5.0868	3.8977	5.0055	2.7218	4.4034	-0.483
arrives	4.6395	0.4771	4.6384	3.2206	4.194	arrive	4.6365	1.5185	4.6341	3.0931	4.2605	0.0031
demands	4.6808	4.5412	4.1129	2.8451	4.0429	demand	5.0021	4.9332	4.0711	2.5403	4.0455	-0.3213
sends	4.4375	1.5911	4.4362	3.1316	4.1997	send	4.8363	3.0734	4.8242	2.8745	4.3827	-0.3988
keeps	4.434	2.4065	4.4144	3.2201	4.2553	keep	5.2563	3.6416	5.2239	3.1355	4.6106	-0.8223
circles	4.5142	4.4716	2.9299	2.0531	3.3357	circle	4.9886	4.7306	3.0945	1.9731	3.4933	-0.4743
suggests	4.919	1	4.9188	3.3151	4.5712	suggest	4.7398	1.7324	4.7389	3.1116	4.4918	0.1792
believes	4.749	1.6435	4.748	2.6884	4.3076	believe	5.1009	2.0212	5.0663	2.8573	4.5067	-0.3519
