David of house of Bowes-Lyon	Claude George of house of Bowes-Lyon
Cyril Vladimirovitch of house of Romanov	Vladimir of house of Romanov
Boris of house of Romanov	Vladimir of house of Romanov
Andrei (Andrew) Vladimirovich of house of Romanov	Vladimir of house of Romanov
Helen Vladimirovna of_Russia of house of Romanov	Vladimir of house of Romanov
Maria Pavlovna of house of Romanov	Paul Alexandrovich of house of Romanov
Dmitri Pavlovich of house of Romanov	Paul Alexandrovich of house of Romanov
Irina	Alexander Mikhailovich (Sandro) of house of Romanov
Andrew	Alexander Mikhailovich (Sandro) of house of Romanov
Theodore	Alexander Mikhailovich (Sandro) of house of Romanov
Nikita	Alexander Mikhailovich (Sandro) of house of Romanov
Dimitri	Alexander Mikhailovich (Sandro) of house of Romanov
Rostislav	Alexander Mikhailovich (Sandro) of house of Romanov
Vassily	Alexander Mikhailovich (Sandro) of house of Romanov
Beatrice Elizabeth Mary of house of Windsor	Andrew Albert Christian of house of Windsor
Eugenie Victoria Helena of house of Windsor	Andrew Albert Christian of house of Windsor
Jane Louisa of house of Ferguson	Ronald Ivor of house of Ferguson
Sarah Margaret of house of Ferguson	Ronald Ivor of house of Ferguson
Bessiewallis of house of Warfield	Teackle Wallis of house of Warfield
Claude George of house of Bowes-Lyon	Claude of house of Bowes-Lyon
Thomas George of house of Lyon-Bowes	Thomas of house of Lyon-Bowes
Claude of house of Bowes-Lyon	Thomas of house of Lyon-Bowes
John Lyon of house of Bowes	John of house of Lyon
Thomas of house of Lyon-Bowes	John of house of Lyon
Kathryn	John Herbert of house of Bowes-Lyon
Norissa	John Herbert of house of Bowes-Lyon
Helena Frederica of_Waldeck	George Victor of_Waldeck
Emma of_Netherlands	George Victor of_Waldeck
Louise Margaret of_Prussia	Frederick Charles of_Prussia
Cecilia Nina of house of Cavendish-Bentin	Charles of house of Cavendish-Bentin
Charlotte Augusta Louisa of house of Hanover	William_IV Henry of house of Hanover
Elizabeth Georgiana Adelaide of house of Hanover	William_IV Henry of house of Hanover
Twin-Boy_1	William_IV Henry of house of Hanover
Twin-Boy_2	William_IV Henry of house of Hanover
Frederick_VIII	Christian_IX
Alexandra of_Denmark "Alix"	Christian_IX
William George_I of_the_Hellenes of house of Oldenburg	Christian_IX
Dagmar "Marie" of_Denmark	Christian_IX
Thyra of_Denmark	Christian_IX
Valdemar	Christian_IX
Constantine_I of house of Oldenburg	William George_I of_the_Hellenes of house of Oldenburg
George of house of Oldenburg	William George_I of_the_Hellenes of house of Oldenburg
Alexandra of_Greece	William George_I of_the_Hellenes of house of Oldenburg
Nicholas of_Greece	William George_I of_the_Hellenes of house of Oldenburg
Mary #11	William George_I of_the_Hellenes of house of Oldenburg
Andrew of_Greece	William George_I of_the_Hellenes of house of Oldenburg
Christopher of house of Oldenburg	William George_I of_the_Hellenes of house of Oldenburg
Olga	William George_I of_the_Hellenes of house of Oldenburg
Marina of_Greece	Nicholas of_Greece
Child_2	Nicholas of_Greece
Child_3	Nicholas of_Greece
Olga #3	Nicholas of_Greece
Elizabeth #10	Nicholas of_Greece
Sarah of house of Spencer	Edward John VIII of house of Spencer
Jane of house of Spencer	Edward John VIII of house of Spencer
John of house of Spencer #2	Edward John VIII of house of Spencer
Diana Frances of house of Spencer	Edward John VIII of house of Spencer
Charles of house of Spencer	Edward John VIII of house of Spencer
Frederica of_Hesse- Darmstadt #2	Ludwig_IX of_Hesse- Darmstadt
George_V of house of Hanover	Ernest Augustus_I of house of Hanover
Ernest Augustus of_Cumberland of house of Hanover	George_V of house of Hanover
Frederica of house of Hanover	George_V of house of Hanover
Mary of house of Hanover #2	George_V of house of Hanover
Marie Louise of house of Hanover	Ernest Augustus of_Cumberland of house of Hanover
George William of house of Hanover	Ernest Augustus of_Cumberland of house of Hanover
Alexandra of house of Hanover	Ernest Augustus of_Cumberland of house of Hanover
Olga of house of Hanover	Ernest Augustus of_Cumberland of house of Hanover
Christian of house of Hanover	Ernest Augustus of_Cumberland of house of Hanover
Ernest Augustus of_Brunswick of house of Hanover	Ernest Augustus of_Cumberland of house of Hanover
George of house of FitzGeorge	George of_Cambridge
Adolphus	George of_Cambridge
Agustus	George of_Cambridge
Son_1	George of house of FitzGeorge
Dau._1	George of house of FitzGeorge
Dau._2	George of house of FitzGeorge
Adolphus Frederick_V	Frederick William
Son_1 #2	Adolphus Frederick_V
Son_2	Adolphus Frederick_V
Dau._1 #2	Adolphus Frederick_V
Dau._2 #2	Adolphus Frederick_V
George of_Cambridge #2	Adolphus 2nd
Son_2 #2	Adolphus 2nd
Mary #2	Adolphus 2nd
Helena	Adolphus 2nd
